"FID","x","y","sand","silt","clay","SOC","TN","TWI","Section_cur","Slope","Surface_cur","Aspect","FVC","NDVI","Altitude","BD"
160,474914.8674,4822000.393,0.519832999,0.241582505,0.18985999,1.076082,0.206307,6.824744701,0.340919077,1.866986513,-89.08434296,8.130101204,0.630239666,0.729142249,1270,1.173264
14,467714.8674,4820400.393,0.613783526,0.223706476,0.162509998,1.284528,0.173696,5.572390079,-0.732339561,6.505990505,-4.195586681,165.9637604,0.734824121,0.75366205,1301,1.174528
51,469714.8674,4820800.393,0.635702014,0.206703173,0.157594812,1.442516,0.180517,7.512139797,2.178488016,11.74470901,-1.584313035,183.8140717,0.451836169,0.687315702,1313,1.174268
119,471314.8674,4821600.393,0.765358211,0.100156304,0.134485485,0.525607,0.097508,6.288952827,-0.543611288,3.188143015,6.670011044,204.4439545,0.49228552,0.69679898,1265,1.11822
44,466914.8674,4820800.393,0.625012569,0.202578372,0.172409059,1.558615,0.204016,6.346135139,-0.983736277,6.367451191,4.831299305,218.2901611,0.60735786,0.723777652,1282,1.086382
159,474514.8674,4822000.393,0.551318664,0.254076133,0.194605204,1.421319,0.237288,8.574633598,0.128781334,6.324192524,8.730065346,135,0.518459857,0.702935576,1251,1.17782
157,473714.8674,4822000.393,0.565893273,0.282632417,0.103369823,1.686444,0.209604,6.805134296,-1.488893747,2.691577911,7.82723999,78.69007111,0.680060029,0.740822613,1273,1.092774
91,472914.8674,4821200.393,0.506598799,0.311548184,0.181853018,2.009349,0.195093,7.335570335,-0.969543517,1.539730906,77.99972534,300.9637451,0.381660849,0.670863092,1280,1.139473
92,473314.8674,4821200.393,0.467146569,0.309967527,0.17442311,1.487906,0.191538,5.522659779,-1.302535892,4.844307423,0.835273325,292.380127,0.613002956,0.725101113,1282,1.180282
152,471714.8674,4822000.393,0.497061741,0.296888114,0.206050145,1.655113,0.197231,4.604597092,2.393315315,16.70828629,7.282055855,349.3803406,0.515547812,0.702252805,1335,0.988498
93,473714.8674,4821200.393,0.527732828,0.294010088,0.178257084,1.412201,0.183765,10.15335083,-2.293781996,1.181036711,-18.55806923,206.5650482,0.697624862,0.744940698,1284,1.165611
138,466114.8674,4822000.393,0.777077817,0.090505288,0.132416895,0.635699,0.111199,5.866283417,0.99181658,7.051406384,49.16365051,333.4349365,0.404933184,0.676319301,1204,1.123772
100,463714.8674,4821600.393,0.718294857,0.158665189,0.123039954,0.644212,0.133159,7.252577782,0.104676291,8.463861465,-31.09121895,73.81079102,0.28902474,0.64914465,1179,1.313566
73,465714.8674,4821200.393,0.714727076,0.155755002,0.129517922,1.007787,0.146933,16.86003304,1.404947162,9.550227165,4.557375908,279.4623108,0.159217417,0.618711352,1162,1.20593
26,472514.8674,4820400.393,0.485579556,0.333121034,0.181299411,1.28706,0.18955,18.55653381,-0.982793748,1.539730906,40.62023163,300.9637451,0.646943569,0.733058512,1260,1.154234
7,464914.8674,4820400.393,0.75820669,0.129941861,0.111851449,0.905615,0.123792,6.1266222,0.740053236,4.488685131,77.81145477,310.2363586,0.33514303,0.659957051,1179,1.332611
149,470514.8674,4822000.393,0.547869811,0.217131173,0.187006748,1.330692,0.132056,9.906730652,0.167394459,3.337170601,-13.47957516,71.56504822,0.392688364,0.673448503,1278,1.009776
79,468114.8674,4821200.393,0.589096059,0.237513081,0.17339086,1.626689,0.165535,9.186221123,-1.391855955,6.103150845,-6.019134998,172.5685883,0.56647706,0.714193165,1285,1.339248
82,469314.8674,4821200.393,0.429598179,0.286698973,0.235008956,1.616999,0.197604,6.824744701,-2.244863987,2.390367985,-104.120224,6.340190887,0.60947758,0.724274635,1329,1.065729
156,473314.8674,4822000.393,0.582830723,0.241935376,0.175233902,1.735275,0.180043,13.60327339,-0.553196549,1.346531868,57.93971634,281.3099365,0.420174301,0.6798926,1261,1.069264
